SetID	Name	XID
TG	TG	TG_411.33427_1.88
TG	TG	TG_427.36577_2.31
TG	TG	TG_453.28492_2.1
TG	TG	TG_483.4286_2.99
TG	TG	TG_517.31671_1.62
TG	TG	TG_537.37925_2.54
TG	TG	TG_551.39475_2.67
TG	TG	TG_579.42619_3.18
TG	TG	TG_609.53249_5.92
TG	TG	TG_635.48842_4.52
TG	TG	TG_649.63729_7.31
TG	TG	TG_663.6528_7.4
TG	TG	TG_687.59541_8.83
TG	TG	TG_713.61162_9.06
TG	TG	TG_719.54616_4.56
TG	TG	TG_729.53105_4.1
TG	TG	TG_741.53044_3.74
TG	TG	TG_745.59895_5.61
TG	TG	TG_752.58059_4.98
TG	TG	TG_758.63058_5.92
TG	TG	TG_769.56162_5.71
TG	TG	TG_773.6296_6.57
TG	TG	TG_781.56199_3.95
TG	TG	TG_785.59397_5.27
TG	TG	TG_789.62456_6.63
TG	TG	TG_793.59828_5.57
TG	TG	TG_798.6618_6.31
TG	TG	TG_805.56187_3.84
TG	TG	TG_812.67722_6.6
TG	TG	TG_819.57666_4.51
TG	TG	TG_823.60878_5.4
TG	TG	TG_828.70833_7.13
TG	TG	TG_833.74555_8.61
TG	TG	TG_838.69186_6.69
TG	TG	TG_847.60823_5.18
TG	TG	TG_853.56227_3.57
TG	TG	TG_858.52532_3.8
TG	TG	TG_861.77866_8.92
TG	TG	TG_867.67126_6.74
TG	TG	TG_878.73655_8.21
TG	TG	TG_885.77844_8.51
TG	TG	TG_891.67085_6.67
TG	TG	TG_899.79568_8.39
TG	TG	TG_905.83992_9.49
TG	TG	TG_917.74712_7.68
TG	TG	TG_923.79359_8.52
TG	TG	TG_943.7632_7.96
TG	TG	TG_961.90384_9.88
