XID	Statistic
Car_161.10506_0.8	22.41680123
Car_311.20918_0.91	4.950781977
Car_355.27189_1.15	11.13548892
Car_385.3185_1.72	6.991399828
Car_413.31386_1.37	13.25570702
Car_439.32948_1.48	11.25963731
Car_453.38129_2.33	9.221125528
Car_493.31641_1.72	1.65871417
Car_519.33226_1.84	7.109578981
Car_537.47572_3.47	5.300162274
Car_551.39478_2.72	0.483779358
Car_585.53266_6.59	6.408935393
Car_609.53258_6.05	7.896196279
Car_635.54903_6.09	6.354577731
Car_649.63732_7.08	3.444292649
Car_665.61097_9.44	0.063208169
Car_688.55128_3.83	0.610790651
Car_714.56735_3.94	0.593486718
Car_719.58313_5.59	4.886056648
Car_729.56706_6.55	3.960847726
Car_743.54656_5.32	4.076238039
Car_747.57768_4.52	1.414144456
Car_752.58317_3.93	1.98448852
Car_759.57821_5.04	1.146081297
Car_769.56175_4.75	1.468576267
Car_775.60919_6.18	2.04194132
Car_781.56208_4.3	0.40435849
Car_786.66181_6.65	1.986906996
Car_791.54316_4.54	0.778049074
Car_793.59832_4.86	3.562572901
Car_798.6618_6.53	0.720275903
Car_805.56208_4.13	0.80373084
Car_813.62383_5.94	8.305394801
Car_819.57668_4.36	2.606961548
Car_823.60879_5.61	0.97529886
Car_829.56235_3.72	0.803745417
Car_833.74632_8.41	1.526728435
Car_840.70704_6.95	4.519993057
Car_847.60838_5.37	2.091280472
Car_854.73649_8.34	2.811472545
Car_858.76798_9.03	0.882283277
Car_862.55608_4.6	2.887189963
Car_867.73148_7.86	1.798577065
Car_879.67127_6.86	3.721065862
Car_885.81456_9.48	1.75600842
Car_891.73137_7.74	1.166754147
Car_901.56653_4.33	0.896947852
Car_905.84124_9.58	0.157850122
Car_919.70202_6.96	13.08830984
Car_925.80952_8.96	0.342892294
Car_943.76332_7.79	0.988180393
CE_1639.15265_4.36	2.169389264
CE_313.22487_0.92	1.151716371
CE_357.28758_1.3	9.319664487
CE_393.28769_1.3	10.33724217
CE_413.34999_2.12	9.53313238
CE_439.36585_2.24	5.769551079
CE_455.39715_2.6	1.741464575
CE_495.33215_2.06	6.068033885
CE_519.33228_1.76	4.419075024
CE_537.51164_5.06	12.21253953
CE_565.41063_2.92	0.697149255
CE_593.44208_3.45	0.283055048
CE_614.49068_4.78	6.193820026
CE_635.62163_7.16	11.62893214
CE_651.65282_7.42	3.881308796
CE_667.62658_9.65	0.050935373
CE_689.61107_9.2	0.288140225
CE_715.51482_4.61	7.085128182
CE_723.51969_4.88	3.760820688
CE_730.59885_4.97	0.232012661
CE_743.54672_5.49	6.616184634
CE_747.5777_5.23	3.93474155
CE_753.52979_4.9	4.954677021
CE_761.59395_5.91	1.296176623
CE_769.59749_4.99	3.537212809
CE_775.60928_6.36	0.520682151
CE_783.57672_4.49	1.355522789
CE_786.66187_6.21	2.924288476
