XID	Statistic
C05824	0.001661284
C18934	0.001865966
C20651	0.003949351
C00025	0.003986097
C04056	0.004342736
C17389	0.00459131
C08314	0.005905048
C13947	0.006016509
C18539	0.00634496
C14132	0.006438109
C14926	0.007368371
C20334	0.008014532
C14417	0.008177831
C20639	0.008564616
C11170	0.009381704
C12300	0.010059288
C19622	0.010423005
C01595	0.010553421
C08321	0.011526638
C06426	0.011746512
C08459	0.012650073
C16283	0.012771945
C14205	0.01300569
C02498	0.013520981
C17359	0.013636489
C15988	0.014520496
C01294	0.014633937
C07119	0.015756229
C08158	0.016373576
C07361	0.016525564
C20578	0.016648693
C17214	0.016657046
C14987	0.01678217
C00661	0.016854617
C04122	0.017362388
C04223	0.017630256
C15793	0.018324871
C18238	0.018453276
C19302	0.019083315
C16614	0.019244238
C15888	0.019362707
C13622	0.019402197
C14169	0.019989192
C17725	0.020017088
C08282	0.020357606
C16433	0.020409563
C11847	0.021166529
C15638	0.022029534
C16250	0.022042311
C05575	0.022339231
C06747	0.022540702
C19077	0.023572908
C15339	0.023730424
C02533	0.023740251
C11445	0.023918203
C00756	0.024215673
C07915	0.024880197
C12020	0.027440785
C07785	0.027921862
C16503	0.028152104
C05537	0.028252907
C08501	0.028302705
C11122	0.028648962
C14837	0.028869649
C06050	0.028982405
C19301	0.029147484
C00073	0.029202854
C03626	0.02931835
C03113	0.029351556
C15269	0.029561561
C00074	0.029754985
C15375	0.029816743
C12374	0.030432068
C18586	0.031877516
C11593	0.031956452
C10246	0.032063259
C15095	0.032159595
C19620	0.032206641
C17934	0.032578952
C02080	0.033685845
C06521	0.034101373
C04282	0.034206056
C11350	0.034350182
C19706	0.034825481
C15279	0.035388186
C00768	0.035601717
C00284	0.035792492
C04211	0.035859973
C01073	0.035999547
C11989	0.036129461
C20292	0.037143693
C10858	0.037324717
C12796	0.037449648
C04309	0.037507788
C10917	0.037828361
C02588	0.038355822
C16505	0.039247999
C14398	0.040154487
C19205	0.04020321
C20441	0.040275709
C01598	0.041647129
C06427	0.041687052
C03057	0.042001511
C10142	0.042594098
C07807	0.042975853
C18397	0.043184195
C00183	0.043593937
C15077	0.044183062
C19158	0.044210532
C15098	0.044260117
C07764	0.044357547
C12312	0.04453357
C03065	0.044735853
C18526	0.045024446
C14395	0.045217775
C18741	0.045797495
C06231	0.045999966
C10783	0.046276638
C14709	0.046477308
C00519	0.046726726
C05515	0.046942982
C11276	0.0472953
C01157	0.047309063
C15853	0.047400847
C16621	0.048013292
C08570	0.04829784
C13827	0.048531814
C10490	0.048655358
C03293	0.048861187
C16156	0.048920994
C04299	0.049178311
C18490	0.049197618
C14643	0.049345071
C00086	0.049491394
C12285	0.050158308
C13750	0.050167891
C14446	0.050348283
C10401	0.050743941
C11519	0.051368863
C14411	0.05170493
C11074	0.052919969
C07637	0.053329609
C11799	0.053805375
C00988	0.053807091
C08632	0.053842711
C18867	0.054127609
C15651	0.055447154
C17245	0.055457387
C14840	0.05585346
C19132	0.055874273
C07268	0.0563186
C07511	0.056417301
C16421	0.057769342
C01110	0.059123164
C08234	0.0599781
C04281	0.060094814
C02018	0.060194484
C13623	0.060373097
C17370	0.061260006
C02354	0.06138547
C14793	0.061397774
C00300	0.06158382
C06229	0.061906198
C20315	0.062095732
C15999	0.062282921
C16361	0.062317072
C00651	0.06233245
C16287	0.062421541
C11156	0.062494946
C15818	0.062606723
C06354	0.063117186
C10472	0.064360344
C15663	0.064401525
C16795	0.064912899
C18473	0.066185862
C08292	0.066686967
C12029	0.066841173
C11335	0.067388014
C03805	0.069110377
C02290	0.069347821
C18310	0.069842995
C14186	0.069892516
C16227	0.070124668
C20365	0.070363599
C20199	0.070982597
C16622	0.071417105
C19325	0.071602401
C18767	0.071859862
C18719	0.072143972
C10598	0.072611403
C07261	0.072792487
C16541	0.072854248
C07894	0.073097202
C18085	0.073245253
C16211	0.073840903
C15025	0.073945094
C01842	0.074315473
C15488	0.074728763
C03305	0.075094389
C15201	0.07509516
C18983	0.075162807
C10522	0.075274548
C14333	0.075656375
C09106	0.0758692
C14346	0.076923752
C01152	0.077174339
C01173	0.077181859
C00825	0.077539878
C17243	0.077870681
C13714	0.077905395
C10133	0.079106583
C01252	0.079522426
C18431	0.080111998
C03900	0.080277034
C03797	0.080293801
C01407	0.081333025
C02862	0.081390345
C16836	0.081395061
C00791	0.081886427
C07104	0.082481194
C11149	0.082501683
C10748	0.082575112
C18458	0.082668693
C04111	0.082688051
C01767	0.083946916
C07661	0.084193813
C17878	0.084704506
C15419	0.08520781
C17663	0.085375002
C15791	0.085834506
C00666	0.086354974
C03347	0.086784074
C14426	0.087406482
C00994	0.087805045
C08399	0.088070068
C19911	0.089107195
C02357	0.089163921
C00826	0.089486839
C12675	0.089725752
C16365	0.090557848
C19280	0.090628114
C07710	0.090665309
C14664	0.091531249
C07677	0.091987332
C00062	0.092559109
C00819	0.092939982
C19468	0.093138284
C19036	0.094264086
C14477	0.094519272
C00212	0.09462673
C03296	0.09528895
C11151	0.095721038
C01267	0.096037283
C20000	0.096141292
C02442	0.09651431
C17996	0.096729466
C04434	0.096776413
C20313	0.097857365
C00095	0.098013388
C05042	0.098134999
C06381	0.098536786
C08943	0.09922635
C03741	0.099249297
C18967	0.099545331
C00197	0.099652704
C14460	0.100025439
C14675	0.100366154
C18308	0.100426047
C12554	0.101020179
