mz	time	Statistic
153.1273	569.9	0.437916389
174.9919	570.5	1.96136428
181.1586	569.3	2.186280334
189.1637	568.8	2.075006112
193.1587	569.2	1.766915956
211.1692	569.2	2.443407933
219.1379	569.3	1.597823796
223.0964	568.8	1.882714958
245.2262	569.5	2.041785559
246.2295	569.7	1.554158127
250.9999	570.5	1.809772585
252.997	570.5	1.893735118
263.2367	569.1	1.99376672
264.24	569.3	2.239680064
281.2473	568.8	2.158044388
282.2506	569	2.138082136
298.3466	570.6	1.811926673
301.2643	570.2	2.127663749
311.1851	569.6	1.987617052
319.2747	569.8	2.173934775
322.2738	569.1	2.117820045
328.0112	570.5	1.71301024
330.0082	570.4	1.866172193
332.0052	570.5	1.775868985
332.9988	570.5	1.963073638
340.2538	569.2	2.296217245
348.9898	570.4	1.673128765
350.9868	570.5	1.762633155
352.9838	570.5	1.552612769
355.2242	569.6	1.828692828
372.0657	570.4	1.631448546
374.0627	570.5	1.672168461
387.0401	570.3	1.674526972
388.043	570.1	1.788079876
389.0372	570.4	1.675323592
391.0342	570.5	1.290318422
400.097	570.5	1.870682271
402.0941	570.5	1.467937779
411.2063	569.2	1.931945778
414.0763	570.6	2.016169953
416.0732	570.5	1.853515286
418.0703	570.3	1.858810499
426.1127	570.5	1.896665062
428.1097	570.5	1.811832074
467.1142	570.6	1.943698672
138.9063	94.9	0.704646953
140.9034	94.9	0.910483161
142.9005	94.8	0.133596789
163.0008	95.1	1.348685762
196.8649	94.7	0.647100839
198.862	94.6	0.150539024
200.859	94.8	0.154088819
202.8561	93	0.391928946
206.8937	94.7	0.891512656
208.8908	95	0.827471672
210.8878	93.6	0.649015123
216.9225	94.9	0.461848524
218.9195	95.2	0.39169737
237.8913	94.7	0.538860521
239.8884	93.3	0.258674485
247.9201	93.4	1.56408194
256.8203	94.7	0.345849987
258.8174	94.9	0.160016838
260.8145	94.2	0.02595312
264.8521	93.6	0.8532699
274.8809	93.7	0.807524339
276.878	93.7	1.081865684
278.875	93.7	0.28432587
284.9098	95.1	0.141009585
286.9068	93.4	0.272681785
312.7819	94.9	0.863059187
318.7731	94.6	0.500914649
322.8107	93.6	1.409821811
326.8048	95	0.527564175
332.8395	93.6	1.201696645
334.8365	93.6	0.971827346
336.8335	93.7	0.487545465
342.8684	93.6	0.167099065
344.8653	93.6	1.250116678
346.8624	94.6	0.172999559
352.8971	93.7	0.797205585
353.9005	93.3	1.410275763
354.894	93.2	0.955338056
370.7406	94.1	0.646656979
372.7377	94.4	0.845411245
374.7347	94.4	0.706252395
376.7317	94.2	0.555179438
380.7695	94.4	1.044683291
382.7665	94.5	1.352404735
384.7635	94.5	1.124709895
386.7604	94.1	0.168744023
390.7982	94.9	0.236991522
392.7951	93.6	0.604557251
394.7923	94.8	0.415801559
396.7892	93.5	0.27687723
400.827	93.6	0.877734711
402.824	93.6	1.032118003
410.8557	93.6	0.457709766
412.8528	94.9	0.293137472
422.8815	93.8	0.029904404
432.6934	94	0.270842741
438.7281	94.1	0.426370975
440.7253	94.2	0.741289525
442.7223	94.1	0.401407695
444.719	93.9	0.453107683
448.7569	93.5	0.54441195
450.754	94.3	0.452927443
452.751	94.4	0.424698644
454.7479	93.4	0.281938499
458.7857	94.5	0.070839152
460.7827	94.5	0.308922346
462.7796	94.4	0.180748296
464.7768	93.4	0.339693138
468.8145	94.1	0.591426579
470.8114	94.5	0.228412696
472.8085	93.7	0.222818055
478.7539	96.6	1.240134562
478.8434	94.4	0.162618434
480.8402	94.5	0.488997742
488.872	93.2	0.175243802
490.6518	93.6	0.342611774
498.6837	93.2	1.013581571
500.6807	93.9	0.487937537
506.7155	93.9	0.45465409
508.7126	94.1	0.179218969
516.7443	94.1	0.044378553
518.7413	94.3	0.257081097
520.7383	94.2	0.619817651
522.7354	93.3	0.611764394
526.773	93.6	0.217504195
528.7701	94.3	0.413433458
530.7672	94	0.64347732
532.8948	88.1	1.563509439
536.8018	94.4	0.063196688
538.7989	94.3	0.179003319
540.7959	93.4	0.719700912
546.8306	94.1	0.316080953
566.6709	93.9	0.359876396
568.6681	93.3	0.3784913
570.665	93.1	0.574407671
574.7026	93.8	0.285838326
576.6998	94.1	0.571881728
584.7314	93.5	0.118531722
586.7285	94.1	0.027386946
588.7256	93.5	0.619518255
594.7602	93.9	0.365062003
596.7574	93.9	0.458169429
598.7545	93.4	0.4924848
604.7891	93.6	0.117317367
606.7862	93.7	0.058513649
614.8179	93.3	0.508054012
616.8151	93	0.263760268
624.6294	93	0.588490619
626.6264	93.1	0.523846802
642.6899	93.2	0.193270445
644.687	93.4	0.675022139
652.7187	93.3	0.111220829
654.7159	93.4	0.812275147
656.7128	93.3	1.053499681
662.7475	93.4	0.041835397
664.7448	93.6	0.506018898
672.7763	93.2	0.118599902
674.7733	93.1	0.143804711
692.6166	93	0.063955437
694.6138	93.1	0.135705781
702.6454	93.2	0.485328574
704.6426	93.1	0.541804072
710.6771	93	1.684283935
712.6742	93.4	0.798811139
714.6714	93.2	0.118548311
198.1852	567.8	1.857190073
225.1847	569.2	1.756174335
258.2789	564.9	1.590552191
265.1044	562	1.923844967
299.2578	569.9	2.03200596
300.2612	570	2.081405807
304.2997	560.8	1.720697486
309.1306	561.9	1.66560447
317.2684	569.7	1.998216676
318.2718	569.9	2.190216571
325.2371	563	2.359506445
328.248	562.5	1.999592367
329.2514	562.6	2.096540043
331.0019	570.4	2.045500978
339.2503	569.8	1.921608925
327.0078	570.5	1.826237752
380.2557	563.5	1.48511618
469.1111	570.7	1.905988996
182.0406	98.9	1.469998528
206.0899	98	2.036625272
278.1221	98.2	1.012540052
323.1113	100	0.954230945
398.0777	98.8	1.614252125
512.1208	96.6	1.130197751
541.1554	98.3	1.923721177
557.1292	99.7	1.667056903
104.0306	147.4	1.732969552
111.541	148	1.928528036
113.0359	148.4	1.724129537
115.5574	143.5	2.261768762
116.0021	148.6	0.943952551
120.0446	149	1.732414583
123.5452	148.2	1.763623283
123.5505	148.1	2.304427144
124.0412	144.6	1.650049115
124.0437	143	1.128669924
125.038	144.2	1.923918317
125.0452	147.7	0.715142059
125.986	148.2	2.250996713
126.5366	149	0.434518573
126.5422	148.2	2.243444526
131.5524	148.3	1.859000492
138.0273	144.5	0.954287478
140.0212	148.1	0.124491752
141.0063	146.1	1.398533475
141.0508	144.5	1.474886587
143.0108	148.4	1.547102439
143.5621	147.8	1.152350543
143.9967	149.2	1.286692431
152.0361	145.2	1.443678388
153.0327	145.1	1.791946956
154.0049	148	1.488795863
156.9839	148.4	1.807778028
157.0284	148.3	1.699919805
161.9983	149.2	1.091675389
164.0668	144.5	0.543825511
165.0703	144.5	1.319582648
166.0534	143.4	0.266030251
166.0643	143.9	0.31615772
168.01	148.3	0.906671482
