mz	time	Subject1TP0	Subject1TP1	Subject1TP2	Subject1TP3	Subject2TP0	Subject2TP1	Subject2TP2	Subject2TP3	Subject3TP0	Subject3TP1	Subject3TP2	Subject3TP3	Subject4TP0	Subject4TP1	Subject4TP2	Subject4TP3	Subject5TP0	Subject5TP1	Subject5TP2	Subject5TP3	Subject6TP0	Subject6TP1	Subject6TP2	Subject6TP3	Subject7TP0	Subject7TP1	Subject7TP2	Subject7TP3	Subject8TP0	Subject8TP1	Subject8TP2	Subject8TP3	Subject9TP0	Subject9TP1	Subject9TP2	Subject9TP3	Subject10TP0	Subject10TP1	Subject10TP2	Subject10TP3	Subject11TP0	Subject11TP1	Subject11TP2	Subject11TP3	Subject12TP0	Subject12TP1	Subject12TP2	Subject12TP3	Subject13TP0	Subject13TP1	Subject13TP2	Subject13TP3	Subject14TP0	Subject14TP1	Subject14TP2	Subject14TP3	Subject15TP0	Subject15TP1	Subject15TP2	Subject15TP3	Subject16TP0	Subject16TP1	Subject16TP2	Subject16TP3	Subject17TP0	Subject17TP1	Subject17TP2	Subject17TP3	Subject18TP0	Subject18TP1	Subject18TP2	Subject18TP3
369.12935	49.7	181.53	276.26	172.34	108.32	316.7	230.51	196.95	93.32	252.36	198.72	260.6	134.18	282.32	234.27	234.3	174.1	373.89	253.28	265.07	127.07	361.44	261.46	267.78	135.44	286.7	168.92	205.04	102.04	306.99	178.22	220.34	108.56	288.1	132.67	234.75	61.57	64.38	84.65	84.68	78.03	0	63.46	74.12	68.41	85.1	90.79	58.06	58.85	62.47	65.32	77.85	61.08	77.42	94.98	54.2	0	67.58	60.71	59.88	82.37	60.71	77.79	78.9	57.87	85.83	89.34	78.91	10.23	85.61	82.57	51.33	60.57
124.04031	124.95	109.65	92.99	81.06	80.98	119.38	105.93	72.48	61.64	103.34	77.07	88.63	59.44	94.77	83.23	85.93	72.76	124.53	100.04	93.22	54.36	142.19	96.18	101	53.8	134.41	100.74	85.17	67.81	124.88	101.89	97.5	52.33	120.86	97.66	91.56	52.49	54.9	51.14	0	0	0	57.8	0	26.66	49.28	43.18	31.73	34.46	51.05	44.97	43.75	0	57.31	43.23	52.96	37.42	31.12	41.07	79.04	30.88	47.87	54.41	57.47	51.05	0	36.04	52.32	54.5	59.95	54.06	0	28.6
133.06077	123.44	1067.74	762.63	489.61	345.36	1312.55	757.2	517.71	308.37	958.22	733.3	548.31	334.52	898.44	738.24	463.41	329.66	1143.02	765.28	565.2	337.97	1100.27	744.14	532.72	369.91	1195.89	789.17	585.08	345.72	1135.14	790.53	679.75	353.8	1244.75	802.99	603.85	308.56	295.52	413.9	243.08	284.27	268.08	457.47	231.17	275.72	320.84	506.91	324.74	344.77	337.22	457.95	331.74	368.65	294.3	490.88	352.73	347.04	313.68	438.64	320.6	294.62	326.49	414.67	306.81	333.49	293.37	599.82	236.2	212.28	311.12	567.13	248.83	257.64
162.1124	94.04	184	201.48	113.56	74.51	225.77	191.52	122.89	63.36	219.88	160.51	134.34	108.23	199.46	176.96	154.38	101.7	275.09	211.82	160.17	91.06	265.54	183.27	182.27	105.09	258.19	201.25	157.41	89.06	276.47	187.02	159.1	107.45	246.36	213.34	172.25	92.74	84.37	105.59	65.17	79.21	82.18	88.94	68.65	66.88	64.8	92.52	77.21	57.88	89.92	99.07	80.07	65.17	111.88	99.41	65.97	60.31	82.65	93.44	61.86	66.88	91.87	86.23	59.66	84.41	79.15	105.57	56.44	67.46	73.94	90.13	47.87	60.82
457.11102	99.87	284.45	220.84	140.01	85.71	281.84	200.89	142.56	81.68	201.98	184.6	162.77	100.36	196.55	186.78	156.6	131.81	270.89	202.66	189.49	114.25	275.29	252.88	167.91	109.62	234.71	198.94	156.08	70.84	238.42	225.87	182.34	62.95	263.78	227.35	142.6	73.93	99.51	98.56	91.11	107.12	113.9	125.38	83.98	93.49	120.88	116.54	75.76	59.44	107.98	122.75	67.57	66.06	90.33	106.77	77.26	72	83.6	94.33	88.5	83.07	89.35	116.65	80.93	60.65	78.03	97.86	53.87	72.41	89.61	108.92	76.84	71.88
147.11277	124.37	552.98	633.13	516.21	208.16	677.56	568.84	529.04	217.09	702.26	614.88	556.08	316.35	699.94	651.51	531.35	343.56	702.41	576.52	683.74	262.73	642.02	607.76	676.52	277.45	925.22	602.78	649.09	252.91	910.81	593.13	648.87	237.61	940.23	579.73	633.89	237.05	453.63	228.39	239.3	247.88	467.37	227.24	226.71	218.6	478.68	179.89	306.62	244.56	480.88	164.47	295.19	245.3	508.36	172.75	272.97	266.5	560.65	222.92	268.15	314.12	563.75	196.74	254.76	313.55	497.54	158.42	254.47	288.21	526.63	140.85	247.52	254.34
258.10637	63.26	202.26	338.84	446.7	412.78	257.62	391.02	456.28	421.24	193.63	345.41	455.79	511.05	189.08	365.77	487.14	549.19	262.12	377.52	471.9	462.49	248.86	400.58	493.98	477.73	280.01	383.87	501	471.9	299.29	366.21	463.76	431.78	243.32	372.28	451.81	438.15	336.15	553.47	671.26	838.18	358.63	601.74	690.99	796.52	347.91	488.5	820.07	961.63	344.03	547.36	829.85	902.22	348.08	543.45	811.72	901.91	319.89	553.76	808.85	889.81	334.36	533.06	910.68	853.14	325.62	507.89	734.38	682.55	319.77	550.2	741.23	720.24
258.10637	64	53.85	400.41	592.33	615.6	50.5	359.87	670.96	620.78	0	361.39	695.51	698.74	50.67	398.54	628.26	660.88	68.13	382.29	701.3	641.63	55.69	374.81	721.5	650.98	39.53	341.24	676.1	629.38	56.38	371.14	748.37	578.48	0	395.88	720.83	621.88	0	91.08	0	66.75	38.44	84.96	0	0	46.52	62.25	68.02	72.49	56.58	43.26	77.11	82.18	47.62	0	55.46	92.96	32	0	0	60.8	0	58.57	57.44	68.61	0	56.25	54.3	69.96	0	0	74.55	47.19
203.05242	59.54	163.16	165.38	134.24	58.4	205.91	198.26	119.35	62.78	57.42	211.63	39.86	54.06	0	198.75	59.19	62.07	98	200.06	91.53	165.03	84.41	184.67	97.03	149.58	371.6	245.1	37.25	84.67	378.13	254.07	0	100.84	356.06	223.63	30.75	76.02	323.65	594.15	804.48	713.25	275.31	581.18	845.79	818.83	280.95	636.14	849.47	843.93	242.49	636.1	910.16	818.17	224.75	641.1	824.46	60.79	315.24	591.38	1712.31	1138.42	329.26	624.35	1817.35	1149.73	328.29	656.97	693.85	552.93	293.82	613.21	716.62	582.23
153.05442	152.16	58.93	350.21	101.2	139.41	69.08	335.05	116.34	131.66	69.41	348.86	151.2	127.14	60.43	310.26	140.38	128.7	90.27	373.81	166.56	128.87	83.55	373.9	170.02	119.89	79.19	338.38	155.08	137.14	84.78	316.01	128.12	122.14	83.03	342.72	159.05	153.1	354.57	181.79	162.64	42.67	335.27	172.8	183.12	33.73	514.54	208.44	212.56	37.12	535.74	152.32	198.68	46.96	498.91	148.86	229.25	30.65	418.98	198.44	229.07	38.74	383.86	178.36	212.97	35.34	411.62	149.88	182.72	20.74	421.89	157.49	208.31	34.88
